miteorigin,sp,year,bl,sex,origin,bodysize,Species,num,hunum,invnum,intnum,sum,p,vesp,hup,invp,intp,newcomp,totalp
G,ves,2017,90,m,M,6.63,hu,2,2,0,3,10,0.2,0.5,0.2,0,0.3,0,1
G,ves,2017,91,f,M,6.36,hu,0,0,0,2,9,0,0.777777778,0,0,0.222222222,0,0.9
G,ves,2017,92,m,M,6.63,hu,0,0,0,3,9,0,0.666666667,0,0,0.333333333,0,0.9
G,ves,2017,93,m,G,6.38,hu,0,0,0,6,9,0,0.333333333,0,0,0.666666667,0,0.9
W,hu,2017,94,m,M,7.52,hu,1,1,0,7,10,0.1,0.2,0.1,0,0.7,1,1
G,hu,2017,95,m,W,6.38,hu,2,2,0,4,7,0.285714286,0.142857143,0.285714286,0,0.571428571,1,0.7
G,inv,2017,96,m,G,5.52,hu,0,0,6,3,10,0,0.1,0,0.6,0.3,0,1
G,inv,2017,1,m,T,5.85,inv,4,2,4,1,10,0.4,0.3,0.2,0.4,0.1,1,1
G,inv,2017,2,f,T,6.36,inv,1,3,1,3,7,0.142857143,0,0.428571429,0.142857143,0.428571429,1,0.7
G,inv,2017,3,f,T,5.72,inv,3,0,3,6,10,0.3,0.1,0,0.3,0.6,1,1
G,inv,2017,4,f,T,5.5,inv,0,3,0,6,9,0,0,0.333333333,0,0.666666667,1,0.9
G,inv,2017,5,m,T,5.49,inv,0,3,0,5,8,0,0,0.375,0,0.625,1,0.8
G,inv,2017,6,m,T,6.09,inv,1,0,1,5,9,0.111111111,0.333333333,0,0.111111111,0.555555556,1,0.9
G,inv,2017,7,f,G,6.03,inv,0,3,0,1,8,0,0.5,0.375,0,0.125,1,0.8
G,int,2017,8,m,G,6.46,inv,0,0,0,3,7,0,0.571428571,0,0,0.428571429,0,0.7
G,int,2017,9,f,G,6.16,inv,0,1,0,6,7,0,0,0.142857143,0,0.857142857,0,0.7
G,int,2017,10,f,G,6.86,inv,1,0,1,4,7,0.142857143,0.285714286,0,0.142857143,0.571428571,0,0.7
G,int,2017,12,m,T,5.72,inv,2,0,2,6,10,0.2,0.2,0,0.2,0.6,0,1
G,int,2017,13,m,T,6.1,inv,0,3,0,4,8,0,0.125,0.375,0,0.5,0,0.8
G,inv,2017,14,f,T,5.72,inv,2,4,2,0,10,0.2,0.4,0.4,0.2,0,1,1
